"time{s}","ControlVolume1\C\p.T{K}","ControlVolume2\C\p.T{K}"
0,300,300
0.01,300.015374759769,300.022421524664
0.02,300.030746455312,300.044819269648
0.03,300.046115074042,300.067193273368
0.04,300.061480603416,300.089543574161
0.05,300.076843030932,300.111870210283
0.06,300.092202344129,300.134173219913
0.07,300.107558530586,300.156452641148
0.08,300.122911577923,300.178708512008
0.09,300.138261473802,300.200940870436
0.1,300.153608205925,300.223149754293
0.11,300.168951762035,300.245335201364
0.12,300.184292129913,300.267497249355
0.13,300.199629297385,300.289635935896
0.14,300.214963252314,300.311751298536
0.15,300.230293982602,300.33384337475
0.16,300.245621476196,300.355912201931
0.17,300.260945721077,300.3779578174
0.18,300.27626670527,300.399980258397
0.19,300.291584416839,300.421979562087
0.2,300.306898843887,300.443955765558
0.21,300.322209974556,300.465908905821
0.22,300.337517797029,300.487839019812
0.23,300.352822299528,300.509746144388
0.24,300.368123470312,300.531630316333
0.25,300.383421297683,300.553491572354
0.26,300.39871576998,300.575329949081
0.27,300.41400687558,300.597145483071
0.28,300.429294602901,300.618938210805
0.29,300.444578940398,300.640708168686
0.3,300.459859876565,300.662455393046
0.31,300.475137399937,300.68417992014
0.32,300.490411499084,300.705881786149
0.33,300.505682162616,300.727561027178
0.34,300.520949379181,300.749217679261
0.35,300.536213137467,300.770851778355
0.36,300.551473426196,300.792463360343
0.37,300.566730234133,300.814052461036
0.38,300.581983550076,300.835619116171
0.39,300.597233362866,300.857163361409
0.4,300.612479661376,300.878685232341
0.41,300.627722434521,300.900184764483
0.42,300.642961671253,300.921661993279
0.43,300.658197360559,300.943116954099
0.44,300.673429491465,300.964549682242
0.45,300.688658053035,300.985960212932
0.46,300.703883034368,301.007348581323
0.47,300.719104424602,301.028714822496
0.48,300.734322212912,301.05005897146
0.49,300.749536388508,301.071381063152
0.5,300.764746940639,301.092681132437
0.51,300.779953858588,301.11395921411
0.52,300.795157131677,301.135215342893
0.53,300.810356749264,301.156449553438
0.54,300.825552700743,301.177661880325
0.55,300.840744975544,301.198852358063
0.56,300.855933563134,301.220021021091
0.57,300.871118453015,301.241167903778
0.58,300.886299634726,301.262293040421
0.59,300.901477097843,301.283396465248
0.6,300.916650831975,301.304478212417
0.61,300.931820826769,301.325538316014
0.62,300.946987071907,301.346576810059
0.63,300.962149557107,301.367593728499
0.64,300.977308272121,301.388589105212
0.65,300.992463206738,301.40956297401
0.66,301.007614350782,301.430515368631
0.67,301.022761694113,301.451446322747
0.68,301.037905226623,301.472355869961
0.69,301.053044938243,301.493244043807
0.7,301.068180818936,301.51411087775
0.71,301.083312858701,301.534956405186
0.72,301.098441047573,301.555780659446
0.73,301.11356537562,301.576583673789
0.74,301.128685832945,301.597365481409
0.75,301.143802409686,301.618126115431
0.76,301.158915096014,301.638865608911
0.77,301.174023882137,301.659583994841
0.78,301.189128758294,301.680281306142
0.79,301.20422971476,301.700957575672
0.8,301.219326741845,301.721612836217
0.810000000000001,301.234419829892,301.742247120501
0.820000000000001,301.249508969276,301.762860461177
0.830000000000001,301.26459415041,301.783452890836
0.840000000000001,301.279675363736,301.804024441998
0.850000000000001,301.294752599734,301.82457514712
0.860000000000001,301.309825848915,301.845105038592
0.870000000000001,301.324895101823,301.865614148738
0.880000000000001,301.339960349037,301.886102509816
0.890000000000001,301.35502158117,301.906570154018
0.900000000000001,301.370078788866,301.927017113472
0.910000000000001,301.385131962802,301.947443420238
0.920000000000001,301.400181093691,301.967849106314
0.930000000000001,301.415226172277,301.988234203631
0.940000000000001,301.430267189336,302.008598744056
0.950000000000001,301.445304135678,302.028942759389
0.960000000000001,301.460337002146,302.049266281369
0.970000000000001,301.475365779615,302.069569341668
0.980000000000001,301.490390458993,302.089851971894
0.990000000000001,301.50541103122,302.110114203591
1,301.520427487269,302.13035606824
1.01,301.535439818145,302.150577597256
1.02,301.550448014884,302.170778821992
1.03,301.565452068556,302.190959773738
1.04,301.580451970263,302.211120483717
1.05,301.595447711137,302.231260983093
1.06,301.610439282344,302.251381302964
1.07,301.625426675081,302.271481474367
1.08,301.640409880577,302.291561528273
1.09,301.655388890092,302.311621495593
1.1,301.670363694919,302.331661407176
1.11,301.68533428638,302.351681293805
1.12,301.70030065583,302.371681186204
1.13,301.715262794656,302.391661115033
1.14,301.730220694276,302.411621110891
1.15,301.745174346137,302.431561204314
1.16,301.76012374172,302.451481425777
1.17,301.775068872536,302.471381805694
1.18,301.790009730125,302.491262374416
1.19,301.804946306061,302.511123162234
1.2,301.819878591948,302.530964199376
1.21,301.834806579418,302.550785516011
1.22,301.849730260137,302.570587142245
1.23,301.864649625799,302.590369108126
1.24,301.879564668132,302.610131443638
1.25,301.894475378889,302.629874178707
1.26,301.909381749859,302.649597343198
1.27,301.924283772857,302.669300966914
1.28,301.93918143973,302.6889850796
1.29,301.954074742354,302.708649710941
1.3,301.968963672638,302.728294890561
1.31,301.983848222517,302.747920648024
1.32,301.998728383958,302.767527012835
1.33,302.013604148957,302.787114014441
1.34,302.02847550954,302.806681682228
1.35,302.043342457764,302.826230045522
1.36,302.058204985712,302.845759133592
1.37,302.0730630855,302.865268975646
1.38,302.087916749272,302.884759600836
1.39,302.102765969201,302.904231038253
1.4,302.117610737489,302.92368331693
1.41,302.132451046369,302.943116465842
1.42,302.147286888101,302.962530513905
1.43,302.162118254975,302.981925489977
1.44,302.17694513931,303.001301422859
1.45,302.191767533453,303.020658341294
1.46,302.206585429781,303.039996273966
1.47,302.221398820699,303.059315249502
1.48,302.236207698641,303.078615296472
1.49,302.25101205607,303.097896443387
1.5,302.265811885475,303.117158718704
1.51,302.280607179376,303.136402150819
1.52,302.295397930322,303.155626768074
1.53,302.310184130888,303.174832598753
1.54,302.324965773677,303.194019671083
1.55,302.339742851323,303.213188013235
1.56,302.354515356485,303.232337653323
1.57,302.369283281852,303.251468619404
1.58,302.38404662014,303.270580939482
1.59,302.398805364094,303.289674641501
1.6,302.413559506484,303.308749753351
1.61,302.428309040111,303.327806302866
1.62,302.443053957801,303.346844317824
1.63,302.45779425241,303.365863825947
1.64,302.47252991682,303.384864854902
1.65,302.487260943939,303.403847432302
1.66,302.501987326706,303.422811585703
1.67,302.516709058085,303.441757342605
1.68,302.531426131066,303.460684730456
1.69,302.546138538669,303.479593776648
1.7,302.560846273938,303.498484508516
1.71,302.575549329948,303.517356953343
1.72,302.590247699797,303.536211138357
1.73,302.604941376612,303.555047090731
1.74,302.619630353546,303.573864837585
1.75,302.634314623779,303.592664405983
1.76,302.648994180517,303.611445822937
1.77,302.663669016994,303.630209115404
1.78,302.67833912647,303.648954310287
1.79,302.69300450223,303.667681434436
1.8,302.707665137587,303.686390514647
